83.72,Recession of tendon
987.8,"Toxic effect of other specified gases, fumes, or vapors"
80.23,"Arthroscopy, wrist"
346.4,Menstrual migraine
655.13,"Chromosomal abnormality in fetus, affecting management of mother, antepartum condition or complication"
533.70,"Chronic peptic ulcer of unspecified site without mention of hemorrhage or perforation, without mention of obstruction"
255.1,Hyperaldosteronism
V45.2,Presence of cerebrospinal fluid drainage device
852.09,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with concussion, unspecified"
24.12,Biopsy of alveolus
90.35,"Microscopic examination of specimen from ear, nose, throat, and larynx, toxicology"
763.7,Abnormal uterine contractions affecting fetus or newborn
242.81,Thyrotoxicosis of other specified origin with mention of thyrotoxic crisis or storm
E910.0,Accidental drowning and submersion while water-skiing
747.39,Other anomalies of pulmonary artery and pulmonary circulation
E910.2,Accidental drowning and submersion while engaged in other sport or recreational activity without diving equipment
E872,Failure of sterile precautions during procedure
204.90,"Unspecified lymphoid leukemia, without mention of having achieved remission"
434.9,"Cerebral artery occlusion, unspecified"
14.6,Removal of surgically implanted material from posterior segment of eye
881.12,"Open wound of wrist, complicated"
71.62,Bilateral vulvectomy
270.2,Other disturbances of aromatic amino-acid metabolism
V60.3,Person living alone
136.9,Unspecified infectious and parasitic diseases
56.32,Closed percutaneous biopsy of ureter
337.2,Reflex sympathetic dystrophy
80.3,Biopsy of joint structure
V14.1,Personal history of allergy to other antibiotic agent
641.3,Antepartum hemorrhage associated with coagulation defects
679,Complications of in utero procedures
35.04,"Closed heart valvotomy, tricuspid valve"
01.19,Other diagnostic procedures on skull
61.0,Incision and drainage of scrotum and tunica vaginalis
996.86,Complications of transplanted pancreas
525.41,"Complete edentulism, class I"
008.4,Intestinal infection due to other specified bacteria
02.21,Insertion or replacement of external ventricular drain [EVD]
814.18,Open fracture of hamate [unciform] bone of wrist
84.68,"Revision or replacement of artificial spinal disc prosthesis, lumbosacral"
789.49,"Abdominal rigidity, other specified site"
60.79,Other operations on seminal vesicles
82.57,Other hand tendon transposition
V87,Other specified personal exposures and history presenting hazards to health
37.62,Insertion of temporary non-implantable extracorporeal circulatory assist device
287.9,Unspecified hemorrhagic conditions
78.10,"Application of external fixator device, unspecified site"
732.9,Unspecified osteochondropathy
429.89,Other ill-defined heart diseases
209.17,Malignant carcinoid tumor of the rectum
295.35,"Paranoid type schizophrenia, in remission"
209.15,Malignant carcinoid tumor of the descending colon
V14.4,Personal history of allergy to anesthetic agent
821.29,Other closed fracture of lower end of femur
053,Herpes zoster
02,"Other operations on skull, brain, and cerebral meninges"
730.94,"Unspecified infection of bone, hand"
712.83,"Other specified crystal arthropathies, forearm"
182.0,"Malignant neoplasm of corpus uteri, except isthmus"
006.6,Amebic skin ulceration
346.7,Chronic migraine without aura
730.96,"Unspecified infection of bone, lower leg"
755.01,Polydactyly of fingers
91.75,"Microscopic examination of specimen from operative wound, toxicology"
669.60,"Breech extraction, without mention of indication, unspecified as to episode of care or not applicable"
56.92,Implantation of electronic ureteral stimulator
812.41,Closed supracondylar fracture of humerus
015.66,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
375.56,"Stenosis of nasolacrimal duct, acquired"
213.0,Benign neoplasm of bones of skull and face
V03.1,Need for prophylactic vaccination and inoculation against typhoid-paratyphoid alone [TAB]
89.18,Other sleep disorder function tests
76.45,Other total ostectomy of other facial bone
890-897.99,OPEN WOUND OF LOWER LIMB
017.76,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
E951.0,Suicide and self-inflicted poisoning by gas distributed by pipeline
250.13,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled"
V71.6,Observation following other inflicted injury
611.79,Other signs and symptoms in breast
993.0,"Barotrauma, otitic"
711.37,"Postdysenteric arthropathy, ankle and foot"
607.83,Edema of penis
